id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
796983497677050358,Bright and Sunny Private Apartment in Albany,18760261,Shane,,NINTH WARD,42.6538578,-73.7855281,Entire home/apt,87,3,13,2023-11-23,1.10,1,231,13,
797455132224782470,Alb Medical/colleges/Dtw Alb/Green Rm. Share,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,55,2,10,2023-11-17,0.74,4,105,9,
798448539017629897,1 Bedroom Garden Level Suite,222612368,Patrick,,SIXTH WARD,42.65315,-73.77012,Entire home/apt,80,30,2,2023-05-18,0.17,1,225,2,
798715218269100922,Cozy 1st Floor Apartment near the NYS Museum,491607190,Abba,,SIXTH WARD,42.65038,-73.76664,Entire home/apt,,1,6,2023-12-23,0.45,6,0,4,
801365637253057708,Charming Albany Retreat ~ 3 Mi to Downtown!,121680792,Evolve,,THIRTEENTH WARD,42.66958,-73.79722,Entire home/apt,126,2,9,2023-08-27,0.71,5,350,8,
802216634798169031,Washington Park Inn - Room 6,493882819,Terra,,SIXTH WARD,42.65751,-73.77409,Private room,127,1,5,2024-02-10,0.68,6,271,5,
803581476246206291,Sophisticated Lux apartment,23490148,Fran,,TENTH WARD,42.6601122,-73.7754681,Entire home/apt,,1,5,2023-10-22,0.36,1,343,2,
803604897479679272,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,,14,1,2023-06-20,0.11,2,228,1,
803814397190632412,Washington Park Inn - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,122,1,3,2023-08-27,0.38,6,266,3,
803867986023966300,Washington Park Inn - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,127,1,4,2023-07-28,0.50,6,267,4,
805896945977358156,Chadell's Chateau,496444061,Diana,,THIRD WARD,42.65588,-73.75332,Entire home/apt,89,1,61,2024-02-16,4.72,1,159,56,
806767523952124375,& Modern Luxury Cottage in Central ALB,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,19,2024-02-04,1.40,1,257,15,
812481224035365997,Adorable Albany Apartment!,266096073,Caroline,,THIRTEENTH WARD,42.67239,-73.79418,Entire home/apt,99,3,31,2023-12-29,2.40,1,38,24,
813640070361665090,The front room w/ TV and king size bed,116935236,Fs,,THIRTEENTH WARD,42.67143614564987,-73.79032550419785,Private room,50,2,10,2023-12-31,1.36,4,206,10,
816085193659797849,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,85,1,27,2024-03-05,2.04,8,360,22,
817160514282672518,Sophisticated Albany Vacation Rental,121680792,Evolve,,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,5,337,0,
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,55,2,3,2023-11-30,0.24,2,282,1,
823275570359807298,Cozy Home 5 Minute Drive to Albany Med Hospital,500360485,Manjano,,SIXTH WARD,42.65184046237008,-73.77073690770652,Entire home/apt,,2,0,,,1,0,0,
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,157,1,17,2024-01-28,1.32,2,277,13,
831122937768017113,Boho-Chic Cape  Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,219,2,50,2024-03-03,4.10,1,147,50,
841524382518312215,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66007584297136,-73.76976949435519,Entire home/apt,120,2,1,2023-09-04,0.16,2,360,1,
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,,2,11,2023-12-03,1.28,2,0,11,
843481456379840308,Gorgeous center square 2 BR,188679144,Elizabeth,,SIXTH WARD,42.65481,-73.76352,Entire home/apt,,1,2,2023-09-04,0.17,8,344,2,
845960193409947556,Modern Cottage-Perfect for Groups!,268741708,Nanette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,300,2,52,2024-03-10,4.42,1,79,52,
846586211673806912,Spacious Home Away from Home!,49372011,Phil,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,175,3,12,2024-02-02,1.08,2,298,12,
849460179246794510,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,,2,1,2024-02-18,1,2,267,1,
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,95,1,65,2024-03-06,5.75,1,322,65,
850653820133738660,"Private queen bedroom near hospitals, schools",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,66,5,5,2023-11-03,0.67,3,173,5,
855336679720071303,Eclectic diverse pets fenced yard,186074828,Blake,,SECOND WARD,42.6457663,-73.7586141,Entire home/apt,85,1,29,2024-02-28,2.57,1,80,29,
857981934159027424,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,78,3,11,2023-12-16,1.13,3,352,11,
870292500281763717,A Charming  Quiet Unit in a Two-Family House,510191554,He,,FOURTEENTH WARD,42.66947,-73.81607,Entire home/apt,79,1,48,2023-12-17,4.39,1,7,48,
870457209918967324,Quiet Room Near Everything,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,55,3,3,2024-03-02,0.55,2,0,3,
879054943124868639,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Private room,169,7,0,,,1,263,0,
880290989870286099,Spacious 3BR with 2BA & Laundry,49372011,Phil,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,175,2,19,2024-01-26,1.88,2,133,19,
881231954286264195,Exposed Brick with Park Views,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,89,1,8,2023-06-13,0.76,8,311,8,
882229561343619620,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,67,2,35,2024-03-02,3.51,1,170,35,
887167811237271928,The Comfort II,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,45,1,16,2024-02-18,1.71,2,359,16,
887179061681202083,The Comfort,459472925,Gabriel,,THIRD WARD,42.6628771,-73.76534029999999,Private room,45,1,13,2024-03-07,1.31,2,363,13,
888859204851381094,Downtown Albany Apartment: Walkable Location!,121680792,Evolve,,THIRD WARD,42.6573,-73.7521,Entire home/apt,104,2,5,2024-02-25,0.51,5,349,5,
897797666103863249,2 Bedroom in quiet neighborhood,37769478,Erion,,TENTH WARD,42.66215778253739,-73.79234533756971,Entire home/apt,100,1,11,2024-02-18,1.23,8,358,11,
898743867240851780,"Airy Colonial Style 5 Br, 2 Ba, Kids Rm & Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,189,2,29,2024-02-11,3.26,1,0,29,
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,24,2024-02-21,2.70,15,281,24,
902326803627859755,*The LEO Home* Private Bedrooms,349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,90,0,,,5,296,0,
904392960639597224,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,110,2,7,2023-10-09,0.76,9,179,7,
905007131419044966,*The Red House* 4 Bedrooms•Just Renovated/Listed,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,197,1,20,2024-01-20,2.48,5,339,20,
910155617642317638,Exclusive | Suite ~ Extended Stay,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,2023-07-26,0.13,3,0,1,
917510613914219375,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,72,1,7,2023-12-03,0.85,3,89,7,
917639722733180899,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.651937304486545,-73.78593011701557,Entire home/apt,156,3,74,2024-03-01,8.44,1,0,74,
919055506310955442,Room for rent,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
919729008458872053,1Private room1B nearly AlbMed& St.Peter's Hospital,382446799,Elizabeth,,NINTH WARD,42.6559529,-73.7807478,Private room,33,1,5,2023-12-28,0.71,2,354,5,
921076441920995839,Work hard! Play hard!,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,80,7,2,2023-09-07,0.28,1,246,2,
922634062451094710,Charming 2 bdrm Apt- Home Away from Home,260986425,Connie,,NINTH WARD,42.65483722729842,-73.79149618599958,Entire home/apt,115,3,1,2023-08-14,0.14,1,20,1,
924826301876268684,1Private Room2B nearlyAlbMed & St.Peter's Hospital,382446799,Elizabeth,,NINTH WARD,42.654965911269095,-73.78021704609974,Private room,44,1,7,2024-02-26,0.86,2,349,7,
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,,THIRTEENTH WARD,42.67066076442359,-73.79571205018514,Entire home/apt,77,1,17,2024-03-03,2.25,1,216,17,
932618854176539492,Cozy space all on 1 floor close to U Albany,232967878,Diana,,THIRTEENTH WARD,42.672943350526445,-73.79225342780366,Entire home/apt,125,1,7,2024-02-04,0.88,22,358,7,
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,,THIRTEENTH WARD,42.67132410762948,-73.79247186675903,Entire home/apt,150,1,11,2024-02-17,1.42,22,349,11,
934035097653060273,7,493882819,Terra,,SIXTH WARD,42.656549255922755,-73.77433674199318,Private room,122,1,3,2023-09-02,0.39,6,283,3,
934744844940967492,Downtown Albany Apartment: Walk to Capitol!,456511812,Evolve,,SIXTH WARD,42.65506,-73.76401,Entire home/apt,,2,0,,,1,0,0,
937837897631191844,Hudson 2 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658672199777634,-73.77478693204898,Private room,184,1,2,2023-12-31,0.31,12,278,2,
937838302933205871,Hudson 1 at The Argus Hotel,526358730,Argus,,ELEVENTH WARD,42.6606,-73.77284,Private room,184,1,4,2024-01-04,0.77,12,278,4,
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,Argus,,TENTH WARD,42.659082586070085,-73.77455698333637,Private room,184,1,4,2023-10-24,0.57,12,275,4,
937927979762952955,Hudson 4 at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66043,-73.77432,Private room,184,1,0,,,12,268,0,
937935210290408974,Hudson 5 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65846944486231,-73.77272373106814,Private room,184,1,1,2023-10-22,0.21,12,277,1,
937943638262956751,Whalen Suite at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65908020134226,-73.77325860057209,Private room,207,1,1,2023-12-27,0.39,12,281,1,
